anio,instancia,agrupacion_original,agrupacion_homologada,familia,bloque
2019,PASO,FRENTE PATRIOTA,Frente Patriota,Derecha nacionalista,No kirchnerismo
2019,PASO,JUNTOS POR EL CAMBIO,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo
2019,PASO,MOVIMIENTO AL SOCIALISMO,MAS,Izquierda,No kirchnerismo
2019,PASO,MOVIMIENTO DE ACCION VECINAL,Movimiento de Accion Vecinal,Otros,No kirchnerismo
2019,PASO,PARTIDO AUTONOMISTA,Partido Autonomista,Otros,No kirchnerismo
2019,PASO,UNITE POR LA LIBERTAD Y LA DIGNIDAD,Unite (Espert),Derecha libertaria,No kirchnerismo
2019,GENERAL,CONSENSO FEDERAL,Consenso Federal (Lavagna),Peronismo no kirchnerista,Peronismo no kirchnerista
2019,GENERAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,Frente de Izquierda,Izquierda,No kirchnerismo
2019,GENERAL,FRENTE DE TODOS,Frente de Todos / Union por la Patria,Peronismo kirchnerista,Kirchnerismo
2019,GENERAL,FRENTE NOS,Frente NOS (Gomez Centurion),Derecha nacionalista,No kirchnerismo
2019,GENERAL,JUNTOS POR EL CAMBIO,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo
2019,GENERAL,UNITE POR LA LIBERTAD Y LA DIGNIDAD,Unite (Espert),Derecha libertaria,No kirchnerismo
2023,PASO,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,Frente de Izquierda,Izquierda,No kirchnerismo
2023,PASO,FRENTE LIBER.AR,Frente Liber.Ar,Otros,No kirchnerismo
2023,PASO,FRENTE PATRIOTA FEDERAL,Frente Patriota,Derecha nacionalista,No kirchnerismo
2023,PASO,HACEMOS POR NUESTRO PAIS,Hacemos por Nuestro Pais (Schiaretti),Peronismo no kirchnerista,Peronismo no kirchnerista
2023,PASO,HACEMOS POR NUESTRO PAIS LA FUERZA DE SANTA FE,Hacemos por Nuestro Pais (Schiaretti),Peronismo no kirchnerista,Peronismo no kirchnerista
2023,PASO,JUNTOS POR EL CAMBIO,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo
2023,PASO,LA LIBERTAD AVANZA,La Libertad Avanza,Derecha libertaria,No kirchnerismo
2023,PASO,MOVIMIENTO AL SOCIALISMO,MAS,Izquierda,No kirchnerismo
2023,PASO,MOVIMIENTO DE ACCION VECINAL,Movimiento de Accion Vecinal,Otros,No kirchnerismo
2023,PASO,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,Movimiento Izquierda Juventud y Dignidad,Izquierda,No kirchnerismo
2023,PASO,MOVIMIENTO LIBRES DEL SUR,Libres del Sur,Centroizquierda no peronista,No kirchnerismo
2023,PASO,POLITICA OBRERA,Politica Obrera,Izquierda,No kirchnerismo
2023,PASO,PRINCIPIOS Y VALORES,Principios y Valores (Moreau),Peronismo no kirchnerista,Peronismo no kirchnerista
2023,PASO,PRINCIPIOS Y VALORES LEALTAD Y DIGNIDAD,Principios y Valores (Moreau),Peronismo no kirchnerista,Peronismo no kirchnerista
2023,PASO,PROYECTO JOVEN,Proyecto Joven,Otros,No kirchnerismo
2023,PASO,UNION DEL CENTRO DEMOCRATICO,UCEDE,Centroderecha liberal,No kirchnerismo
2023,PASO,UNION POR LA PATRIA,Frente de Todos / Union por la Patria,Peronismo kirchnerista,Kirchnerismo
2023,GENERAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,Frente de Izquierda,Izquierda,No kirchnerismo
2023,GENERAL,HACEMOS POR NUESTRO PAIS,Hacemos por Nuestro Pais (Schiaretti),Peronismo no kirchnerista,Peronismo no kirchnerista
2023,GENERAL,HACEMOS POR NUESTRO PAIS LA FUERZA DE SANTA FE,Hacemos por Nuestro Pais (Schiaretti),Peronismo no kirchnerista,Peronismo no kirchnerista
2023,GENERAL,JUNTOS POR EL CAMBIO,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo
2023,GENERAL,LA LIBERTAD AVANZA,La Libertad Avanza,Derecha libertaria,No kirchnerismo
2023,GENERAL,UNION POR LA PATRIA,Frente de Todos / Union por la Patria,Peronismo kirchnerista,Kirchnerismo
2023,BALOTAJE,LA LIBERTAD AVANZA,La Libertad Avanza,Derecha libertaria,No kirchnerismo
2023,BALOTAJE,UNION POR LA PATRIA,Frente de Todos / Union por la Patria,Peronismo kirchnerista,Kirchnerismo
